sample_id,source_model,category,gold_positive,pred_positive,gold_span_count,pred_span_count,n_tokens,max_prob,mean_prob
case_41320b9ea73577ae,Llama-2-7b-chat-hf,TN,False,False,0,0,114,0.11720751971006393,0.011933651150397245
case_dcaa92ef0f9512ee,Llama-3.1-8B-Instruct,TN,False,False,0,0,28,0.0002273635327583179,0.00013869971735402942
case_c72bc442c8d43fbc,Mistral-7B-Instruct-v0.1,FP,False,True,0,1,39,0.40770819783210754,0.08915479620862662
case_b6504ba617c0ad2c,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,56,0.00040845820331014693,0.00019152101179185723
case_d720cec8374a2c94,Llama-2-7b-chat-hf,FP,False,True,0,1,57,0.46662744879722595,0.07894564034384594
case_1a591a71a1160bbe,Llama-3.1-8B-Instruct,TN,False,False,0,0,62,0.1802973747253418,0.025350493399591577
case_d2bc65c6827465c4,Mistral-7B-Instruct-v0.1,FP,False,True,0,4,51,0.4366511106491089,0.17013366027351687
case_e5980f6e5ccd46a9,Mistral-7B-Instruct-v0.3,FP,False,True,0,1,43,0.3914876878261566,0.08749031357813714
case_a467a2115737e411,Llama-2-7b-chat-hf,TP,True,True,2,3,94,0.9899563789367676,0.6636166864500798
case_a772daa11bc80430,Llama-3.1-8B-Instruct,TN,False,False,0,0,53,0.0002779652422759682,0.00017274094867423387
case_1d197229875d5bb7,Mistral-7B-Instruct-v0.1,FN,True,False,1,0,85,0.005327955354005098,0.001481693354435265
case_2dfdd57509aaa7bd,Mistral-7B-Instruct-v0.3,FP,False,True,0,1,61,0.6118338704109192,0.11038430635893687
case_535a75700f6d50e4,Llama-2-7b-chat-hf,FN,True,False,1,0,57,0.09649781137704849,0.013059942840124694
case_24e2b14d294c0925,Llama-3.1-8B-Instruct,TN,False,False,0,0,47,0.00033998434082604945,0.0002050307442179009
case_4642ab3c57ff3553,Mistral-7B-Instruct-v0.1,FN,True,False,1,0,37,0.0049350811168551445,0.002392468074135281
case_e9e88efb09f642f3,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,40,0.009445618838071823,0.0026650513042113743
case_b278d47c4016f418,Llama-2-7b-chat-hf,TN,False,False,0,0,113,0.0020847159903496504,0.0002583704590184441
case_3c3844b95b99109e,Llama-3.1-8B-Instruct,TN,False,False,0,0,33,0.0002681377518456429,0.00020517040199289718
case_2cfb8e41280aadaf,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,54,0.0022763588931411505,0.0005603296686550257
case_cd94ec0f1229fcfe,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,81,0.0019876209553331137,0.0003276367081267426
case_e3e8cc91f1e52c47,Llama-2-7b-chat-hf,TN,False,False,0,0,73,0.002212024061009288,0.0006651147252765216
case_42f1f9863bb6f99d,Llama-3.1-8B-Instruct,TN,False,False,0,0,18,0.0020837122574448586,0.001093733451044601
case_076c31ea7962bf14,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,27,0.002655765973031521,0.001497255948682626
case_5f8e3aeaa71c4ba6,Mistral-7B-Instruct-v0.3,FP,False,True,0,1,69,0.8991307020187378,0.18851739451613114
case_97247767b76e180e,Llama-2-7b-chat-hf,FN,True,False,1,0,57,0.05454596132040024,0.023290835786610842
case_d4eb76d4d80c658b,Llama-3.1-8B-Instruct,TN,False,False,0,0,76,0.0027746588457375765,0.00046409094312893054
case_14de13b0e42169ce,Mistral-7B-Instruct-v0.1,FN,True,False,1,0,37,0.05336117371916771,0.02525107763909005
case_6af3d4f6802ca062,Mistral-7B-Instruct-v0.3,FN,True,False,1,0,52,0.016979999840259552,0.00874345382460608
case_be4fcb21d48c99c0,Llama-2-7b-chat-hf,TN,False,False,0,0,67,0.007330348715186119,0.001426110078438199
case_890c40464803b125,Llama-3.1-8B-Instruct,TN,False,False,0,0,45,0.0017464733682572842,0.0007077838164857692
case_93900af8ca2ead96,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,37,0.003329129656776786,0.0009343208528023113
case_ca1ff5c54e6c62c4,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,84,0.11693821102380753,0.02531096879101824
case_c884371381ca2096,Llama-2-7b-chat-hf,TP,True,True,2,4,111,0.994848906993866,0.2886575095979277
case_f117001f0537ad84,Llama-3.1-8B-Instruct,TN,False,False,0,0,71,0.01716885343194008,0.0013650644564030456
case_df55e2ddabfbd0b1,Mistral-7B-Instruct-v0.1,FN,True,False,1,0,16,0.0002800827787723392,0.00014417038755709655
case_fbe6f6196be76f5d,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,97,0.07449151575565338,0.001616940084429573
case_9926aca98a28699b,Llama-2-7b-chat-hf,TN,False,False,0,0,88,0.05713178217411041,0.010995969191505785
case_0e8bc81b69728f74,Llama-3.1-8B-Instruct,TN,False,False,0,0,19,0.0006192777073010802,0.00043180238878305416
case_73bc52102ac43da4,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,18,0.0006993278511799872,0.0004745953984739673
case_054ae2737653d151,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,18,0.0005805159453302622,0.00042222713980461575
case_579f90caff3ebd1e,Llama-2-7b-chat-hf,FP,False,True,0,3,94,0.92827308177948,0.29806985069622666
case_7b49df97c656d03d,Llama-3.1-8B-Instruct,TN,False,False,0,0,17,0.012234692461788654,0.008587523253963274
case_669af2db388b13d9,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,33,0.007982895709574223,0.00109813193932606
case_46f8cbbb1ec30f1e,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,55,0.0012743117986246943,0.00029396326625084673
case_6e4f51be83cd2bf1,Llama-2-7b-chat-hf,FN,True,False,1,0,111,0.05205538496375084,0.008772845216397498
case_1e036c40bed3e2c2,Llama-3.1-8B-Instruct,TN,False,False,0,0,59,0.06026308983564377,0.017196950305379547
case_157170c49b52041f,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,12,0.06239117681980133,0.037032225634902716
case_fa45143a9b53e8d6,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,48,0.031912077218294144,0.012253592819130668
case_ab2b8b3d0db67e4d,Llama-2-7b-chat-hf,TP,True,True,1,5,111,0.997721254825592,0.6847803933663411
case_59fa5746fa2e1e3a,Llama-3.1-8B-Instruct,TN,False,False,0,0,24,0.000362435239367187,0.0001966530780919129
case_f1ef45d3eb225d7e,Mistral-7B-Instruct-v0.1,FN,True,False,1,0,12,0.10315091907978058,0.04521201830357313
case_c65edc2525d51e00,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,27,0.0004019953776150942,0.00017431328241299425
case_513029e5245177bc,Llama-2-7b-chat-hf,FP,False,True,0,1,33,0.9855272769927979,0.9233394734787218
case_6e1dfd6a53ecedae,Llama-3.1-8B-Instruct,FP,False,True,0,1,24,0.4717174470424652,0.21804798084000745
case_4618903d6e4c7910,Mistral-7B-Instruct-v0.1,TP,True,True,1,2,44,0.9320212602615356,0.6499948745424097
case_972d66e3763acd7a,Mistral-7B-Instruct-v0.3,FP,False,True,0,2,37,0.982054591178894,0.8061484920011984
case_8f707be45475b4aa,Llama-2-7b-chat-hf,TP,True,True,1,1,27,0.9990594983100891,0.9848075994738826
case_f8999088c1ef0ea9,Llama-3.1-8B-Instruct,TN,False,False,0,0,63,0.016484394669532776,0.005215898279972848
case_bfe2b2114bd14854,Mistral-7B-Instruct-v0.1,FP,False,True,0,2,28,0.40843144059181213,0.1690931957481163
case_49cbad38101b1160,Mistral-7B-Instruct-v0.3,FP,False,True,0,4,87,0.579529345035553,0.07322790951654716
case_2289f4786167e953,Llama-2-7b-chat-hf,FP,False,True,0,2,111,0.998877227306366,0.6312278052765733
case_41c0e432a3e1a6fe,Llama-3.1-8B-Instruct,TN,False,False,0,0,67,0.04010690003633499,0.010478365198542266
case_785da927438cf717,Mistral-7B-Instruct-v0.1,FP,False,True,0,1,111,0.9721254110336304,0.33767917782470985
case_d29bcbe936537054,Mistral-7B-Instruct-v0.3,FP,False,True,0,5,74,0.7717834711074829,0.3216043254832511
case_2ec520bf0497d46f,Llama-2-7b-chat-hf,FN,True,False,2,0,111,0.27941882610321045,0.01959408087451913
case_d25c4caf48c63d53,Llama-3.1-8B-Instruct,TN,False,False,0,0,44,0.0003115287108812481,0.00017523047790746205
case_1d9cff82e930a0e8,Mistral-7B-Instruct-v0.1,FP,False,True,0,3,49,0.8165115118026733,0.16763136224679848
case_69b57dd44815502f,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,77,0.0011527730384841561,0.0002802312505460199
case_588e7bd909e37a95,Llama-2-7b-chat-hf,TN,False,False,0,0,34,0.002469421597197652,0.0013464863364146475
case_3b98cf5a22893963,Llama-3.1-8B-Instruct,TN,False,False,0,0,47,0.001857214723713696,0.0005750546257873562
case_676fbd6bca5c2f97,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,26,0.004838029853999615,0.001664198603695975
case_f02d5b4d2db3be76,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,28,0.0010369551600888371,0.0006034331256939497
case_91123d8dc0ccf824,Llama-2-7b-chat-hf,TP,True,True,1,1,89,0.9803032875061035,0.207106906781856
case_74eab2ecf8b833bb,Llama-3.1-8B-Instruct,TN,False,False,0,0,27,0.0011471167672425508,0.0005263106712071156
case_685db1f268824766,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,47,0.048747945576906204,0.004226738712570798
case_09fd9a26e5d363d5,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,55,0.0019957369659096003,0.00047907741100061685
case_79a8a1fd1a43b6d0,Llama-2-7b-chat-hf,FN,True,False,1,0,130,0.12631696462631226,0.025669147305262204
case_a59374c7bd7cf4a5,Llama-3.1-8B-Instruct,TN,False,False,0,0,41,0.002582198241725564,0.0012324827924802353
case_574d0bf6c3ddab3f,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,33,0.0027852049097418785,0.0008039923215454274
case_8ae9c26bd0cc01c5,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,35,0.0025396053679287434,0.0012937978342441577
case_f0ff67975e07a88a,Llama-2-7b-chat-hf,TP,True,True,3,14,243,0.9994053840637207,0.3979459324460707
case_ff8f66437872b6aa,Llama-3.1-8B-Instruct,TN,False,False,0,0,94,0.13604208827018738,0.011154673976558657
case_2823eaa5c640e8ac,Mistral-7B-Instruct-v0.1,FP,False,True,0,1,103,0.47447091341018677,0.028758811051516512
case_8ae846758453dc7b,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,62,0.0005907596787437797,0.00025674726953917753
case_119a4f9cf1c5f9eb,Llama-2-7b-chat-hf,FN,True,False,1,0,41,0.11399296671152115,0.017687805486053636
case_3c3974c8397bdf29,Llama-3.1-8B-Instruct,TN,False,False,0,0,27,0.006206486839801073,0.0027913682775020047
case_ab96574922fd35e8,Mistral-7B-Instruct-v0.1,FN,True,False,1,0,25,0.0012178787728771567,0.0008245958155021072
case_6d67bb5a2b511b86,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,24,0.0032913032919168472,0.0017835219672027354
case_7f58783425501a43,Llama-2-7b-chat-hf,TP,True,True,1,1,107,0.9683788418769836,0.4017958186162096
case_ec4c763222ac3c99,Llama-3.1-8B-Instruct,TN,False,False,0,0,35,0.00016633508494123816,0.00012743371064841214
case_8e5b3b38d8317ec5,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,46,0.15307500958442688,0.04089344027733719
case_d58773a4e5101881,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,59,0.0037861336022615433,0.0008232136063624994
case_5af87aa914d6ec9c,Llama-2-7b-chat-hf,TN,False,False,0,0,68,0.08516314625740051,0.015640806382768515
case_1b6d84b5b30d6a15,Llama-3.1-8B-Instruct,TN,False,False,0,0,28,0.007208879571408033,0.0017216976682123328
case_c6e4b39b0f267be8,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,37,0.002003953093662858,0.0006423315231537295
case_4ffaf06742b723bb,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,18,0.01216465700417757,0.007429468031558726
case_3a712cd4bbf5b5e6,Llama-2-7b-chat-hf,TP,True,True,1,3,95,0.9939026832580566,0.47113668550001947
case_b4d671f8073095f1,Llama-3.1-8B-Instruct,TN,False,False,0,0,51,0.07902470231056213,0.018506416314231305
case_d0fc95b5b66d8fd9,Mistral-7B-Instruct-v0.1,FP,False,True,0,1,31,0.9101159572601318,0.6007962121117499
case_c592777c0b1a4c4a,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,66,0.14636555314064026,0.013745677705931788
case_795370992972b534,Llama-2-7b-chat-hf,TN,False,False,0,0,146,0.016514742746949196,0.0024127602504051215
case_de725d8ddab2a16f,Llama-3.1-8B-Instruct,TN,False,False,0,0,34,0.008351464755833149,0.0032034513869268052
case_f477775cfc6eafdc,Mistral-7B-Instruct-v0.1,TP,True,True,1,1,58,0.9517194032669067,0.7010435766444124
case_c4a1bb9a429bee43,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,27,0.0014556644018739462,0.0007753812996843071
case_eccff726de3bd18f,Llama-2-7b-chat-hf,FN,True,False,2,0,111,0.058374807238578796,0.004247945928967113
case_61bfc099cc2b7fa9,Llama-3.1-8B-Instruct,FN,True,False,1,0,97,0.05062437057495117,0.002946350263019414
case_c023d406736971ef,Mistral-7B-Instruct-v0.1,FN,True,False,1,0,111,0.04052768275141716,0.005752932960702409
case_94b441d8c293881e,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,78,0.2265198677778244,0.014086592527373562
case_c38693b5870b477c,Llama-2-7b-chat-hf,FN,True,False,1,0,62,0.003958771470934153,0.002502547475629516
case_b4b7e873e63319c7,Llama-3.1-8B-Instruct,TN,False,False,0,0,33,0.004910039249807596,0.0013552408005731802
case_c512538bef2b1ff3,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,32,0.028525125235319138,0.007201946922577918
case_2ad95615b7b5ddcc,Mistral-7B-Instruct-v0.3,FP,False,True,0,1,104,0.5944618582725525,0.07477923457386518
case_08e799c902b43789,Llama-2-7b-chat-hf,FN,True,False,1,0,70,0.0399121455848217,0.008904177835211158
case_f065bdb5579f782a,Llama-3.1-8B-Instruct,TN,False,False,0,0,35,0.0027626885566860437,0.0006796738091257534
case_7dbcc44f6c06a8b8,Mistral-7B-Instruct-v0.1,FN,True,False,1,0,43,0.16086004674434662,0.07160253580226454
case_22a2bf1530f857dc,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,112,0.0025515614543110132,0.00032338139141886913
case_c4e13a169584f32c,Llama-2-7b-chat-hf,TN,False,False,0,0,111,0.037714023143053055,0.005716374368398442
case_2c04a9c60f5163a8,Llama-3.1-8B-Instruct,FP,False,True,0,4,111,0.9669294357299805,0.23105936613235925
case_98a568d6f4ec95ea,Mistral-7B-Instruct-v0.1,FP,False,True,0,1,47,0.8869449496269226,0.24544410623530757
case_8803a9181c23b79d,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,47,0.04723784700036049,0.013618379162545217
case_2ff1119382bd24bc,Llama-2-7b-chat-hf,TP,True,True,1,5,111,0.9343576431274414,0.2586669854506187
case_6b1b4fa950827111,Llama-3.1-8B-Instruct,TN,False,False,0,0,22,0.0028508189134299755,0.0014016535807803104
case_5f7c0f3afd39cd2b,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,56,0.00034870978561230004,0.00018558946404872195
case_b788c8a79bd2bb42,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,65,0.0003532238770276308,0.00015960645373874847
case_850a2658359b76c2,Llama-2-7b-chat-hf,FP,False,True,0,2,111,0.995553195476532,0.38619088511368643
case_2a3428468f902ab5,Llama-3.1-8B-Instruct,TN,False,False,0,0,41,0.0012610704870894551,0.0006180631973576255
case_6e5318796a6c9025,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,51,0.002211136044934392,0.000818578294688361
case_08d3bd0c1b5f9245,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,63,0.19244320690631866,0.02069307741984385
case_8137133490f8f3b9,Llama-2-7b-chat-hf,TP,True,True,5,3,111,0.9997108578681946,0.8809815261613678
case_c3d519983b4ed7d4,Llama-3.1-8B-Instruct,TN,False,False,0,0,64,0.17209482192993164,0.048168379744311096
case_e6e1b6622911cb3e,Mistral-7B-Instruct-v0.1,TP,True,True,1,1,111,0.999729573726654,0.9128834449493133
case_fc4b414ad54175c6,Mistral-7B-Instruct-v0.3,TP,True,True,3,1,111,0.9994584918022156,0.5586406791788265
case_1b0e6d7e18964377,Llama-2-7b-chat-hf,FP,False,True,0,2,149,0.6108632683753967,0.11917567697678687
case_4abbb195f7646dc3,Llama-3.1-8B-Instruct,FP,False,True,0,3,45,0.4989476501941681,0.11622579775026275
case_e04a1172b26f6712,Mistral-7B-Instruct-v0.1,FN,True,False,1,0,16,0.03871382400393486,0.02258853876264766
case_bce68e3cdc4520c6,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,62,0.06103409826755524,0.01578700061063207
case_f34af9e7e8532de6,Llama-2-7b-chat-hf,TP,True,True,1,1,40,0.7570598721504211,0.3647117539541796
case_7e3f92557a519b81,Llama-3.1-8B-Instruct,TN,False,False,0,0,23,0.0005934790824539959,0.00028170536192508575
case_08ae4431bcbc114a,Mistral-7B-Instruct-v0.1,FN,True,False,1,0,12,0.2602040767669678,0.1051971319441994
case_c1527d5cd275a719,Mistral-7B-Instruct-v0.3,TP,True,True,1,2,38,0.34198853373527527,0.06776357615844493
case_a951b216794d5505,Llama-2-7b-chat-hf,TP,True,True,1,2,138,0.993353009223938,0.35342610539089
case_3a384ef87983926e,Llama-3.1-8B-Instruct,TN,False,False,0,0,27,0.00751038221642375,0.003992234029013802
case_7fa345677d2c25a4,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,29,0.016371119767427444,0.006938983284836185
case_203e6bdc6b0c650c,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,30,0.04462466761469841,0.015759486247164507
case_455b6226181510c4,Llama-2-7b-chat-hf,TN,False,False,0,0,69,0.03022320196032524,0.002995614111938082
case_c26bf343fd501e02,Llama-3.1-8B-Instruct,TN,False,False,0,0,40,0.00025156786432489753,0.00017903859643411124
case_71597cb2d7085f9d,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,69,0.000540727807674557,0.00018979126068280902
case_4aa7ec5d8a7c7f81,Mistral-7B-Instruct-v0.3,TN,False,False,0,0,48,0.00038239211426116526,0.00017945933511024728
case_2fb126ad3846b4a7,Llama-2-7b-chat-hf,FP,False,True,0,1,55,0.3959944546222687,0.06730401984161952
case_79ae5ddb6ef0af03,Llama-3.1-8B-Instruct,TN,False,False,0,0,12,0.01860985904932022,0.010113448021002114
case_8ec0909596863f3b,Mistral-7B-Instruct-v0.1,TN,False,False,0,0,28,0.008713155053555965,0.004058813792653382
