question_id,expanded_sample_id,source_model,source_split,source_row_index,partition,n_claims,n_hallucinations,gold_faithful,answer_length,n_chunks
1237,case_871ae8890414ff56,Mistral-7B-Instruct-v0.3,train,28,train,1,0,True,82,2
1237,case_3c388d02d14d3abc,Llama-2-7b-chat-hf,train,29,train,1,0,True,219,2
1237,case_387e5715091e6191,Mistral-7B-Instruct-v0.3,train,29,train,1,0,True,193,2
584,case_ba3a7ae8eca9eb7d,Llama-2-7b-chat-hf,train,32,train,1,0,True,118,2
584,case_fbbe555f139ca264,Mistral-7B-Instruct-v0.3,train,32,train,1,0,True,65,2
584,case_99ed5dfedc558f0a,Llama-2-7b-chat-hf,train,33,train,1,1,False,300,2
584,case_fb4c46bc3740bb0d,Mistral-7B-Instruct-v0.3,train,33,train,1,0,True,222,2
505,case_bdd193571ad85728,Llama-2-7b-chat-hf,train,36,train,2,1,False,533,4
505,case_4f438a3f447c588b,Mistral-7B-Instruct-v0.3,train,36,train,2,0,True,430,4
505,case_e42e550f90234158,Llama-2-7b-chat-hf,train,37,train,1,0,True,494,4
505,case_fbce1e2fb123243f,Mistral-7B-Instruct-v0.3,train,37,train,1,0,True,246,4
32,case_c47a58fcfff9ea46,Llama-2-7b-chat-hf,train,38,train,3,1,False,331,5
32,case_9ba62b03e420c4b8,Mistral-7B-Instruct-v0.3,train,38,train,2,0,True,465,5
235,case_6ab68dcb2e4a220d,Llama-2-7b-chat-hf,train,39,train,2,0,True,357,5
235,case_4c3f99f1918421f1,Mistral-7B-Instruct-v0.3,train,39,train,2,0,True,405,5
235,case_989fa28fc310e8b6,Llama-2-7b-chat-hf,train,40,train,2,0,True,1101,5
235,case_63c0508b08553531,Mistral-7B-Instruct-v0.3,train,40,train,2,1,False,253,5
1142,case_542791b909aeb483,Llama-2-7b-chat-hf,train,41,train,2,0,True,205,1
1142,case_16a49fe22da2ee6e,Mistral-7B-Instruct-v0.3,train,41,train,1,0,True,114,1
1142,case_028156f1a99266ee,Llama-2-7b-chat-hf,train,42,train,4,0,True,490,1
1142,case_f87070ead51b570c,Mistral-7B-Instruct-v0.3,train,42,train,2,0,True,238,1
1806,case_df43863c7a87f745,Llama-2-7b-chat-hf,train,43,train,2,2,False,443,3
1806,case_54652641eb0812ea,Mistral-7B-Instruct-v0.3,train,43,train,1,0,True,150,3
1806,case_023cd08460e37ffa,Llama-2-7b-chat-hf,train,44,train,1,1,False,618,3
1806,case_27489c5012c8cb22,Mistral-7B-Instruct-v0.3,train,44,train,1,0,True,147,3
1205,case_ce3ccd0fa6b43604,Llama-2-7b-chat-hf,train,47,train,1,1,False,330,3
1205,case_5f63311eb702709f,Mistral-7B-Instruct-v0.3,train,47,train,1,0,True,195,3
1205,case_961fa4750cfb74a8,Llama-2-7b-chat-hf,train,48,train,4,0,True,919,3
1205,case_77f1b010c9b0a103,Mistral-7B-Instruct-v0.3,train,48,train,1,0,True,292,3
1263,case_538e3e0fbe59facc,Llama-2-7b-chat-hf,train,49,train,2,1,False,433,4
1263,case_e630ed1c0f83084f,Mistral-7B-Instruct-v0.3,train,49,train,2,1,False,653,4
1263,case_f90759fc5940320a,Llama-2-7b-chat-hf,train,50,train,3,1,False,466,4
1263,case_f79c46cc831587a7,Mistral-7B-Instruct-v0.3,train,50,train,1,0,True,209,4
2260,case_693be21df8fcdc31,Llama-2-7b-chat-hf,train,51,train,1,0,True,105,4
2260,case_0512e90d633daf17,Mistral-7B-Instruct-v0.3,train,51,train,1,0,True,80,4
2260,case_e8f7e47a699fd7f1,Llama-2-7b-chat-hf,train,52,train,2,1,False,272,4
2260,case_7a02c81a334462a8,Mistral-7B-Instruct-v0.3,train,52,train,2,3,False,221,4
1106,case_47970eecfe006153,Llama-2-7b-chat-hf,train,55,train,3,2,False,420,2
1106,case_59fb96430525ab7b,Mistral-7B-Instruct-v0.3,train,55,train,1,0,True,88,2
1106,case_166296c40692365b,Llama-2-7b-chat-hf,train,56,train,1,0,True,439,2
1106,case_f47f33eface28919,Mistral-7B-Instruct-v0.3,train,56,train,2,0,True,340,2
686,case_4664838617102ba8,Llama-2-7b-chat-hf,train,57,train,1,2,False,570,5
686,case_f437942897c29d44,Mistral-7B-Instruct-v0.3,train,57,train,1,0,True,219,5
686,case_8290878e7094c20d,Llama-2-7b-chat-hf,train,58,train,1,1,False,708,5
686,case_4538282c588aac7e,Mistral-7B-Instruct-v0.3,train,58,train,1,0,True,235,5
498,case_18836d08bbb6ef6a,Llama-2-7b-chat-hf,train,59,train,1,1,False,204,1
498,case_07fc91e4caf31c52,Mistral-7B-Instruct-v0.3,train,59,train,1,0,True,245,1
498,case_864058730c97636e,Llama-2-7b-chat-hf,train,60,train,1,0,True,560,1
498,case_cfcb7b05caa510ab,Mistral-7B-Instruct-v0.3,train,60,train,2,0,True,370,1
1073,case_e6ff65b987cb0958,Llama-2-7b-chat-hf,train,61,train,3,0,True,464,1
1073,case_d8c7b21f4463b3fb,Mistral-7B-Instruct-v0.3,train,61,train,1,0,True,245,1
1073,case_e6f6da447dfd0c7a,Llama-2-7b-chat-hf,train,62,train,2,1,False,629,1
1073,case_808ed9bb254e5ea8,Mistral-7B-Instruct-v0.3,train,62,train,1,0,True,383,1
1952,case_f7c3316ec7f0c221,Llama-2-7b-chat-hf,train,65,train,1,8,False,1480,5
1952,case_5d066de9d50e10be,Mistral-7B-Instruct-v0.3,train,65,train,1,0,True,568,5
1952,case_c929c0828ac01461,Llama-2-7b-chat-hf,train,66,train,3,1,False,1620,5
1952,case_c2e467275aa84c99,Mistral-7B-Instruct-v0.3,train,66,train,1,0,True,397,5
1591,case_6a8abdbdc70bd418,Llama-2-7b-chat-hf,train,67,train,2,1,False,475,2
1591,case_45c3ada66ff59e00,Mistral-7B-Instruct-v0.3,train,67,train,1,1,False,261,2
1591,case_8b0b2e14949fd9ed,Llama-2-7b-chat-hf,train,68,train,1,0,True,702,2
1591,case_7efd76b784e43de7,Mistral-7B-Instruct-v0.3,train,68,train,1,0,True,211,2
2067,case_e7958953be476f13,Llama-2-7b-chat-hf,train,69,train,3,0,True,258,1
2067,case_bfb44b479517fdcf,Mistral-7B-Instruct-v0.3,train,69,train,2,0,True,114,1
2067,case_4c2b0373dd153a08,Llama-2-7b-chat-hf,train,70,train,2,0,True,612,1
2067,case_5b55823ade45c409,Mistral-7B-Instruct-v0.3,train,70,train,1,0,True,500,1
103,case_6aafec51d1dcf70a,Llama-2-7b-chat-hf,train,71,train,2,0,True,298,5
103,case_a9ac7f24566de58b,Mistral-7B-Instruct-v0.3,train,71,train,1,0,True,249,5
103,case_feeb0adfa3a4c6c0,Llama-2-7b-chat-hf,train,72,train,4,1,False,750,5
103,case_7a90f079e69187ee,Mistral-7B-Instruct-v0.3,train,72,train,1,0,True,144,5
496,case_9999f349549b544d,Llama-2-7b-chat-hf,train,75,train,2,0,True,264,3
496,case_276eb9324ab0d056,Mistral-7B-Instruct-v0.3,train,75,train,1,0,True,195,3
496,case_afd76ee2bb45bced,Llama-2-7b-chat-hf,train,76,train,3,1,False,354,3
496,case_8d7cb3e3b00d9579,Mistral-7B-Instruct-v0.3,train,76,train,2,0,True,369,3
2295,case_bd28c19478d10996,Llama-2-7b-chat-hf,train,77,train,1,1,False,125,5
2295,case_c6e0e72540ac3df1,Mistral-7B-Instruct-v0.3,train,77,train,2,0,True,353,5
2295,case_a093b70d2b5a0e96,Llama-2-7b-chat-hf,train,78,train,1,1,False,123,5
2295,case_012efac52072fc6b,Mistral-7B-Instruct-v0.3,train,78,train,1,0,True,425,5
744,case_cb6f8cc2e3bd4665,Llama-2-7b-chat-hf,train,79,train,2,1,False,197,5
744,case_1b3616e71e49fbe2,Mistral-7B-Instruct-v0.3,train,79,train,1,0,True,141,5
744,case_f3abd5e5af7322af,Llama-2-7b-chat-hf,train,80,train,3,1,False,406,5
744,case_7791d9cf09c01b7d,Mistral-7B-Instruct-v0.3,train,80,train,1,0,True,237,5
100,case_19d31233bd2b40b9,Llama-2-7b-chat-hf,train,81,train,1,1,False,826,5
100,case_93060370228195f6,Mistral-7B-Instruct-v0.3,train,81,train,1,0,True,291,5
100,case_c6d2331bbd53d7cc,Llama-2-7b-chat-hf,train,82,train,1,1,False,1829,5
100,case_4ce2ff6ef26a2dc7,Mistral-7B-Instruct-v0.3,train,82,train,1,0,True,475,5
187,case_484dab9ecca80f37,Llama-2-7b-chat-hf,train,83,dev,2,0,True,157,1
187,case_2db03d1163a35c77,Mistral-7B-Instruct-v0.3,train,83,dev,1,0,True,90,1
187,case_500c311a352190d8,Llama-2-7b-chat-hf,train,84,dev,2,2,False,430,1
187,case_a63c5394af717ad7,Mistral-7B-Instruct-v0.3,train,84,dev,1,1,False,266,1
925,case_017b3f825f9b9f37,Llama-2-7b-chat-hf,train,85,train,3,2,False,306,4
925,case_a32fe5089e27fffa,Mistral-7B-Instruct-v0.3,train,85,train,3,0,True,207,4
925,case_ba702bc61c621605,Llama-2-7b-chat-hf,train,86,train,1,1,False,336,4
925,case_fc49da720e887134,Mistral-7B-Instruct-v0.3,train,86,train,1,0,True,396,4
834,case_e9701e368964e3b6,Llama-2-7b-chat-hf,train,87,train,2,2,False,164,5
834,case_d9c98080e43f6c47,Mistral-7B-Instruct-v0.3,train,87,train,1,0,True,81,5
834,case_7adf1943dabce482,Llama-2-7b-chat-hf,train,88,train,3,2,False,387,5
834,case_a342a92db5376822,Mistral-7B-Instruct-v0.3,train,88,train,1,0,True,231,5
2032,case_8d3101b37ac0dd52,Llama-2-7b-chat-hf,train,89,dev,1,3,False,684,4
2032,case_30ae853a81231bef,Mistral-7B-Instruct-v0.3,train,89,dev,1,0,True,205,4
2032,case_a34c5bd1cb720145,Llama-2-7b-chat-hf,train,90,dev,2,1,False,581,4
2032,case_6c6e3445a5ed26ad,Mistral-7B-Instruct-v0.3,train,90,dev,1,1,False,325,4
206,case_80f6451073d98185,Llama-2-7b-chat-hf,train,91,train,1,0,True,161,1
206,case_bf138d9f2d5dc860,Mistral-7B-Instruct-v0.3,train,91,train,1,0,True,48,1
206,case_7591178a97aa7501,Llama-2-7b-chat-hf,train,92,train,2,1,False,208,1
206,case_794d9ce7d23aaf0b,Mistral-7B-Instruct-v0.3,train,92,train,1,0,True,262,1
1268,case_86b64b306672168b,Llama-2-7b-chat-hf,train,93,train,2,2,False,530,4
1268,case_14043acf1b58f074,Mistral-7B-Instruct-v0.3,train,93,train,1,1,False,353,4
1268,case_a61edaa8be1cd7bd,Llama-2-7b-chat-hf,train,94,train,3,1,False,870,4
1268,case_09ef6000fb5b0210,Mistral-7B-Instruct-v0.3,train,94,train,1,0,True,401,4
780,case_4c9ac134cae9fee9,Llama-2-7b-chat-hf,train,96,train,3,0,True,343,5
780,case_295ab5497af50eaf,Mistral-7B-Instruct-v0.3,train,96,train,1,0,True,203,5
780,case_beb5ff1ae2dcd1c6,Llama-2-7b-chat-hf,train,97,train,3,2,False,444,5
780,case_68bace3eacbc4cec,Mistral-7B-Instruct-v0.3,train,97,train,2,2,False,276,5
512,case_29a41e7f2bb15025,Llama-2-7b-chat-hf,train,98,train,2,0,True,235,1
512,case_5a7e83f2b7b2ce83,Mistral-7B-Instruct-v0.3,train,98,train,1,0,True,90,1
512,case_2c8e5b1dbf33d2da,Llama-2-7b-chat-hf,train,99,train,3,2,False,594,1
512,case_a28363e4365ca032,Mistral-7B-Instruct-v0.3,train,99,train,1,0,True,236,1
689,case_0d369b5059f30ed6,Llama-2-7b-chat-hf,train,100,train,1,0,True,113,5
689,case_669b4af994ca49e0,Mistral-7B-Instruct-v0.3,train,100,train,1,0,True,34,5
689,case_84f19bcf38004ee0,Llama-2-7b-chat-hf,train,101,train,1,1,False,97,5
689,case_f9a59f6ff217289b,Mistral-7B-Instruct-v0.3,train,101,train,1,0,True,130,5
465,case_50191ebb3fb406e5,Llama-2-7b-chat-hf,train,104,train,3,1,False,465,3
465,case_5971109f6508e9cc,Mistral-7B-Instruct-v0.3,train,104,train,2,0,True,243,3
465,case_4a0798e42e753b2a,Llama-2-7b-chat-hf,train,105,train,4,1,False,629,3
465,case_c8da084d7587d57c,Mistral-7B-Instruct-v0.3,train,105,train,1,0,True,228,3
2179,case_d70e00fdbfbff148,Llama-2-7b-chat-hf,train,106,train,2,2,False,387,2
2179,case_ead1851a69ac6884,Mistral-7B-Instruct-v0.3,train,106,train,1,0,True,155,2
2179,case_d5a12b046de82f9c,Llama-2-7b-chat-hf,train,107,train,3,0,True,395,2
2179,case_baab85da69b0b353,Mistral-7B-Instruct-v0.3,train,107,train,1,0,True,265,2
368,case_63c9199b6385698c,Llama-2-7b-chat-hf,train,108,train,2,1,False,426,1
368,case_bbeeff20d88c673b,Mistral-7B-Instruct-v0.3,train,108,train,1,0,True,109,1
368,case_221aa588921c7483,Llama-2-7b-chat-hf,train,109,train,1,0,True,234,1
368,case_4095377650373d67,Mistral-7B-Instruct-v0.3,train,109,train,1,0,True,304,1
1981,case_f33bf20777b59891,Llama-2-7b-chat-hf,train,110,train,3,0,True,637,3
1981,case_eac3e999f5fbb7b9,Mistral-7B-Instruct-v0.3,train,110,train,2,0,True,334,3
1860,case_fa4bd3f2cbdc6011,Llama-2-7b-chat-hf,train,111,dev,2,3,False,442,4
1860,case_686f05b3d371714f,Mistral-7B-Instruct-v0.3,train,111,dev,2,0,True,343,4
1860,case_b5792fe4f8e1561e,Llama-2-7b-chat-hf,train,112,dev,2,1,False,362,4
1860,case_ac8d53dd6ec0e311,Mistral-7B-Instruct-v0.3,train,112,dev,2,0,True,180,4
2322,case_4af8454cfe1caa6c,Llama-2-7b-chat-hf,train,113,train,2,0,True,494,2
2322,case_ecb95f6ba221104f,Mistral-7B-Instruct-v0.3,train,113,train,1,0,True,110,2
2322,case_83eb12c5f87a6a1c,Llama-2-7b-chat-hf,train,114,train,2,2,False,727,2
2322,case_2dbbecf910612259,Mistral-7B-Instruct-v0.3,train,114,train,2,0,True,420,2
675,case_cdcdc0f3bc41f0f7,Llama-2-7b-chat-hf,train,115,dev,1,1,False,392,1
675,case_1dae405c74e6b17a,Mistral-7B-Instruct-v0.3,train,115,dev,1,1,False,296,1
675,case_f93e69f4e5cbaeb0,Llama-2-7b-chat-hf,train,116,dev,1,0,True,780,1
675,case_9122c9a21dfc84bf,Mistral-7B-Instruct-v0.3,train,116,dev,1,0,True,339,1
326,case_7078da0bd04ad1ab,Llama-2-7b-chat-hf,train,117,train,1,2,False,569,3
326,case_42ffbf3f6b0adfad,Mistral-7B-Instruct-v0.3,train,117,train,1,0,True,342,3
326,case_916ca6bc03a51662,Llama-2-7b-chat-hf,train,118,train,4,1,False,1335,3
326,case_b8e0502734e1aa50,Mistral-7B-Instruct-v0.3,train,118,train,1,0,True,366,3
262,case_05368603cbf32dad,Llama-2-7b-chat-hf,train,119,train,2,0,True,303,5
262,case_1b571f70a5dc3f70,Mistral-7B-Instruct-v0.3,train,119,train,1,0,True,117,5
262,case_2535e981af60a288,Llama-2-7b-chat-hf,train,120,train,3,1,False,632,5
262,case_7ad2217400688baf,Mistral-7B-Instruct-v0.3,train,120,train,1,1,False,229,5
1802,case_ab79820f2f14590b,Llama-2-7b-chat-hf,train,121,train,3,0,True,297,4
1802,case_d35dccee9f836c28,Mistral-7B-Instruct-v0.3,train,121,train,1,0,True,169,4
1802,case_9dd660460ad51521,Llama-2-7b-chat-hf,train,122,train,2,0,True,165,4
1802,case_65c31cd98672f55e,Mistral-7B-Instruct-v0.3,train,122,train,1,0,True,302,4
913,case_0b42410dd43e59a7,Llama-2-7b-chat-hf,train,123,train,2,0,True,152,1
913,case_7c63bb31a28dec0e,Mistral-7B-Instruct-v0.3,train,123,train,1,0,True,47,1
913,case_dd83d2a40b28675a,Llama-2-7b-chat-hf,train,124,train,2,1,False,400,1
913,case_e326dc60855f2949,Mistral-7B-Instruct-v0.3,train,124,train,2,0,True,287,1
1650,case_b9eae6130aa2ce45,Llama-2-7b-chat-hf,train,125,train,1,0,True,197,4
1650,case_c564abdde18cbebd,Mistral-7B-Instruct-v0.3,train,125,train,1,0,True,169,4
1650,case_3206f6cc7d39d736,Llama-2-7b-chat-hf,train,126,train,4,1,False,805,4
1650,case_3540a71d11a902b5,Mistral-7B-Instruct-v0.3,train,126,train,1,0,True,435,4
20,case_943443c97f4faaca,Llama-2-7b-chat-hf,train,127,train,2,0,True,402,2
20,case_dc3adf94c046f1c4,Mistral-7B-Instruct-v0.3,train,127,train,1,0,True,117,2
20,case_e98a231f9a2bcc63,Llama-2-7b-chat-hf,train,128,train,1,0,True,634,2
20,case_cd7c3e5dcb278173,Mistral-7B-Instruct-v0.3,train,128,train,1,0,True,307,2
1776,case_b2439924d86034f4,Llama-2-7b-chat-hf,train,129,train,1,0,True,177,4
1776,case_ee9fa36cee3bf22d,Mistral-7B-Instruct-v0.3,train,129,train,1,0,True,79,4
1776,case_f85304fe6618f52f,Llama-2-7b-chat-hf,train,130,train,8,0,True,929,4
1776,case_8dbfdb1857722ae1,Mistral-7B-Instruct-v0.3,train,130,train,1,0,True,205,4
1195,case_d2a19b0bcc2849b4,Llama-2-7b-chat-hf,train,131,train,3,1,False,315,4
1195,case_d84b557d930958ae,Mistral-7B-Instruct-v0.3,train,131,train,1,0,True,128,4
1195,case_cc632fa7e6b6fcfa,Llama-2-7b-chat-hf,train,132,train,2,0,True,346,4
1195,case_3bab9d1c2fc30b02,Mistral-7B-Instruct-v0.3,train,132,train,2,0,True,236,4
1597,case_5b26484fb8ea7574,Llama-2-7b-chat-hf,train,133,train,1,3,False,462,1
1597,case_a3e5c7ca10a23c70,Mistral-7B-Instruct-v0.3,train,133,train,1,0,True,249,1
1597,case_602777a672d58c84,Llama-2-7b-chat-hf,train,134,train,1,3,False,918,1
1597,case_d117692680eda95c,Mistral-7B-Instruct-v0.3,train,134,train,1,0,True,397,1
1689,case_1e5c226c98c20d61,Llama-2-7b-chat-hf,train,135,dev,2,1,False,206,3
1689,case_d48e6cd93a55b8e5,Mistral-7B-Instruct-v0.3,train,135,dev,1,0,True,148,3
1689,case_a039fe8593fb2562,Llama-2-7b-chat-hf,train,136,dev,2,1,False,206,3
1689,case_dc289ce8cc18f3d7,Mistral-7B-Instruct-v0.3,train,136,dev,2,0,True,217,3
1886,case_c9dd75d79a7ee04c,Llama-2-7b-chat-hf,train,137,train,1,0,True,428,1
1886,case_740e9be984e58b6c,Mistral-7B-Instruct-v0.3,train,137,train,1,0,True,413,1
1886,case_8e20714312152a3b,Llama-2-7b-chat-hf,train,138,train,1,1,False,618,1
1886,case_95e5a97316351b7c,Mistral-7B-Instruct-v0.3,train,138,train,1,1,False,314,1
274,case_1e696c5d362f0f87,Llama-2-7b-chat-hf,train,139,train,2,1,False,464,3
274,case_6f99d14ea1e802b2,Mistral-7B-Instruct-v0.3,train,139,train,1,1,False,335,3
274,case_7c920e301004e106,Llama-2-7b-chat-hf,train,140,train,2,0,True,320,3
274,case_380454786cafce1e,Mistral-7B-Instruct-v0.3,train,140,train,2,1,False,348,3
1991,case_a1226ac88d64ef08,Llama-2-7b-chat-hf,train,141,train,2,0,True,118,5
1991,case_aa77f8d9ed11f78a,Mistral-7B-Instruct-v0.3,train,141,train,1,0,True,79,5
1991,case_bede8392a286c996,Llama-2-7b-chat-hf,train,142,train,2,1,False,124,5
1991,case_a616fe3626bbfdc3,Mistral-7B-Instruct-v0.3,train,142,train,1,0,True,228,5
1883,case_c0ff4b5c7974201b,Llama-2-7b-chat-hf,train,143,dev,1,0,True,467,5
1883,case_f841ee58170b00c6,Mistral-7B-Instruct-v0.3,train,143,dev,1,0,True,212,5
1883,case_42417fa21eeb0d2f,Llama-2-7b-chat-hf,train,144,dev,1,1,False,971,5
1883,case_fa154e98e8a538f6,Mistral-7B-Instruct-v0.3,train,144,dev,1,0,True,236,5
557,case_e114535d9de72da1,Llama-2-7b-chat-hf,train,145,dev,1,0,True,160,2
557,case_07c77c0b34880b18,Mistral-7B-Instruct-v0.3,train,145,dev,1,0,True,349,2
557,case_a7779e29134483ac,Llama-2-7b-chat-hf,train,146,dev,2,1,False,369,2
557,case_2e6fe111e786c0a3,Mistral-7B-Instruct-v0.3,train,146,dev,1,1,False,163,2
1502,case_3e35abc50e86b26c,Llama-2-7b-chat-hf,train,149,train,2,0,True,242,1
1502,case_b0911861e6d85bc0,Mistral-7B-Instruct-v0.3,train,149,train,1,1,False,159,1
1502,case_9c5013d4381fdb7b,Llama-2-7b-chat-hf,train,150,train,3,1,False,465,1
1502,case_297ce427475fe166,Mistral-7B-Instruct-v0.3,train,150,train,1,1,False,161,1
2020,case_a9def5b433718275,Llama-2-7b-chat-hf,train,151,train,2,0,True,154,2
2020,case_4851bc2e92ac3d1f,Mistral-7B-Instruct-v0.3,train,151,train,1,0,True,146,2
2020,case_922d8221b2700ac8,Llama-2-7b-chat-hf,train,152,train,2,1,False,105,2
2020,case_650a0dc027cfaebc,Mistral-7B-Instruct-v0.3,train,152,train,1,0,True,162,2
1242,case_8eeb668c5d7bec8a,Llama-2-7b-chat-hf,train,153,train,3,1,False,271,3
1242,case_a642249e59c7c141,Mistral-7B-Instruct-v0.3,train,153,train,1,1,False,146,3
1242,case_09815b9291fb7791,Llama-2-7b-chat-hf,train,154,train,1,0,True,586,3
1242,case_24e785737e8a3b49,Mistral-7B-Instruct-v0.3,train,154,train,1,0,True,311,3
1760,case_0e4b0f8d89ba8dc6,Llama-2-7b-chat-hf,train,155,train,1,0,True,276,2
1760,case_7ff4fd0553986e28,Mistral-7B-Instruct-v0.3,train,155,train,1,0,True,317,2
1760,case_d4a33ca925b43332,Llama-2-7b-chat-hf,train,156,train,1,1,False,387,2
1760,case_9854843c49591de5,Mistral-7B-Instruct-v0.3,train,156,train,1,0,True,214,2
366,case_f8a2c8eb18f18b70,Llama-2-7b-chat-hf,train,157,train,2,2,False,708,3
366,case_79b071418c10a0e7,Mistral-7B-Instruct-v0.3,train,157,train,1,0,True,287,3
366,case_1adf82916ab559e5,Llama-2-7b-chat-hf,train,158,train,1,1,False,297,3
366,case_21f04b44416392f1,Mistral-7B-Instruct-v0.3,train,158,train,1,0,True,262,3
158,case_a20960207bcf00f9,Llama-2-7b-chat-hf,train,159,train,2,0,True,208,3
158,case_95d63fea429273b9,Mistral-7B-Instruct-v0.3,train,159,train,1,0,True,203,3
158,case_59b69db1978d71c5,Llama-2-7b-chat-hf,train,160,train,5,0,True,968,3
